0023 20E3	gorchudd bysell #
2744	pluen eira
2747	fflachiad
274C	marc croes
274E	botwm croes
2753	marc cwestiwn
2754	marc cwestiwn gwyn
2755	ebychnod gwyn
2757	ebychnod
2763	ebychiad trwm galon
2764	calon goch
2795	adio
2796	tynnu
2797	rhannu
27A1	saeth i’r dde
27B0	dolen gyrliog
27BF	dolen gyrliog ddwbl
2934	saeth i’r dde yn troi i fyny
2935	saeth i’r dde yn troi i lawr
2B05	saeth i’r chwith
2B06	saeth i fyny
2B07	saeth i lawr
2B1B	sgwâr mawr du
2B1C	sgwâr mawr wyn
2B50	seren ganolig wen
2B55	cylch coch gwag
3030	llinell donnog
303D	marc aryneilio rhannol
3297	ideograff cyfarchion mewn cylch
3299	ideograff cyfrinach mewn cylch
1F004	draig goch mahjong
1F0CF	cellweiriwr
1F170	botwm A (grwp gwaed)
1F171	botwm B (grwp gwaed)
1F17E	botwm O (grwp gwaed)
1F17F	botwm P
1F18E	botwm AB (grwp gwaed)
1F191	botwm CL
1F192	botwm COOL
1F193	botwm FREE
1F194	botwm ID
1F195	botwm NEW
1F196	botwm NG
1F197	botwm OK
1F198	botwm SOS
1F199	botwm UP!
1F19A	botwm VS
1F1E6 1F1E8	baner Ynys Ascension
1F1E6 1F1E9	baner Andorra
1F1E6 1F1EA	baner Emiradau Arabaidd Unedig
1F1E6 1F1EB	baner Afghanistan
1F1E6 1F1EC	baner Antigua a Barbuda
1F1E6 1F1EE	baner Anguilla
1F1E6 1F1F1	baner Albania
1F1E6 1F1F2	baner Armenia
1F1E6 1F1F4	baner Angola
1F1E6 1F1F6	baner Antarctica
1F1E6 1F1F7	baner Yr Ariannin
1F1E6 1F1F8	baner Samoa America
1F1E6 1F1F9	baner Awstria
1F1E6 1F1FA	baner Awstralia
1F1E6 1F1FC	baner Aruba
1F1E6 1F1FD	baner Ynysoedd Åland
1F1E6 1F1FF	baner Aserbaijan
1F1E7 1F1E6	baner Bosnia a Herzegovina
1F1E7 1F1E7	baner Barbados
1F1E7 1F1E9	baner Bangladesh
1F1E7 1F1EA	baner Gwlad Belg
1F1E7 1F1EB	baner Burkina Faso
1F1E7 1F1EC	baner Bwlgaria
1F1E7 1F1ED	baner Bahrain
1F1E7 1F1EE	baner Burundi
1F1E7 1F1EF	baner Benin
1F1E7 1F1F1	baner Saint Barthélemy
1F1E7 1F1F2	baner Bermuda
1F1E7 1F1F3	baner Brunei
1F1E7 1F1F4	baner Bolifia
1F1E7 1F1F6	baner Antilles yr Iseldiroedd
1F1E7 1F1F7	baner Brasil
1F1E7 1F1F8	baner Y Bahamas
1F1E7 1F1F9	baner Bhutan
1F1E7 1F1FB	baner Ynys Bouvet
1F1E7 1F1FC	baner Botswana
1F1E7 1F1FE	baner Belarws
1F1E7 1F1FF	baner Belize
1F1E8 1F1E6	baner Canada
1F1E8 1F1E8	baner Ynysoedd Cocos (Keeling)
1F1E8 1F1E9	baner Y Congo - Kinshasa
1F1E8 1F1EB	baner Gweriniaeth Canolbarth Affrica
1F1E8 1F1EC	baner Y Congo - Brazzaville
1F1E8 1F1ED	baner Y Swistir
1F1E8 1F1EE	baner Côte d’Ivoire
1F1E8 1F1F0	baner Ynysoedd Cook
1F1E8 1F1F1	baner Chile
1F1E8 1F1F2	baner Camerŵn
1F1E8 1F1F3	baner Tsieina
1F1E8 1F1F4	baner Colombia
1F1E8 1F1F5	baner Ynys Clipperton
1F1E8 1F1F6	baner Sarc
1F1E8 1F1F7	baner Costa Rica
1F1E8 1F1FA	baner Ciwba
1F1E8 1F1FB	baner Cabo Verde
1F1E8 1F1FC	baner Curaçao
1F1E8 1F1FD	baner Ynys y Nadolig
1F1E8 1F1FE	baner Cyprus
1F1E8 1F1FF	baner Tsiecia
1F1E9 1F1EA	baner Yr Almaen
1F1E9 1F1EC	baner Diego Garcia
1F1E9 1F1EF	baner Djibouti
1F1E9 1F1F0	baner Denmarc
1F1E9 1F1F2	baner Dominica
1F1E9 1F1F4	baner Gweriniaeth Dominica
1F1E9 1F1FF	baner Algeria
1F1EA 1F1E6	baner Ceuta a Melilla
1F1EA 1F1E8	baner Ecuador
1F1EA 1F1EA	baner Estonia
1F1EA 1F1EC	baner Yr Aifft
1F1EA 1F1ED	baner Gorllewin Sahara
1F1EA 1F1F7	baner Eritrea
1F1EA 1F1F8	baner Sbaen
1F1EA 1F1F9	baner Ethiopia
1F1EA 1F1FA	baner Yr Undeb Ewropeaidd
1F1EB 1F1EE	baner Y Ffindir
1F1EB 1F1EF	baner Fiji
1F1EB 1F1F0	baner Ynysoedd y Falkland/Malvinas
1F1EB 1F1F2	baner Micronesia
1F1EB 1F1F4	baner Ynysoedd Ffaro
1F1EB 1F1F7	baner Ffrainc
1F1EC 1F1E6	baner Gabon
1F1EC 1F1E7	baner Y Deyrnas Unedig
1F1EC 1F1E9	baner Grenada
1F1EC 1F1EA	baner Georgia
1F1EC 1F1EB	baner Guyane Ffrengig
1F1EC 1F1EC	baner Ynys y Garn
1F1EC 1F1ED	baner Ghana
1F1EC 1F1EE	baner Gibraltar
1F1EC 1F1F1	baner Yr Ynys Las
1F1EC 1F1F2	baner Gambia
1F1EC 1F1F3	baner Gini
1F1EC 1F1F5	baner Guadeloupe
1F1EC 1F1F6	baner Gini Gyhydeddol
